linelist	teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	loggastero	dloggastero	loggLC	dloggLC	convergence	fixteff	fixlogg	fixfeh	fixvt	outlier	weights	model	refine	EPcrit	RWcrit	ABdiffcrit
BD-120327	4678	100	4.22	0.18	-0.29	0.04	0.37	0.50	4.50	0.18	4.67	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-123458	4876	68	4.98	0.21	-0.78	0.03	0.00	0.13	5.18	0.21	5.34	0.21	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
BD-130116	4534	78	4.11	0.24	-0.47	0.24	0.01	6.01	4.45	0.24	4.63	0.24	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
BD-130321	4769	137	4.27	0.25	0.06	0.08	0.59	0.48	4.51	0.26	4.68	0.26	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-131161	5397	30	4.37	0.08	0.10	0.02	0.64	0.07	4.37	0.08	4.49	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-140184	4736	76	4.30	0.17	-0.21	0.05	0.48	0.32	4.56	0.17	4.73	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-145003	4755	47	4.62	0.14	-0.41	0.02	0.00	0.06	4.87	0.14	5.04	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-160308	5172	41	4.41	0.08	-0.4	0.03	0.42	0.13	4.50	0.08	4.64	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-160931	4910	75	4.35	0.15	-0.04	0.04	0.53	0.25	4.54	0.15	4.70	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-170063	4778	116	4.32	0.24	0.02	0.07	0.63	0.39	4.56	0.24	4.73	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-173242	4640	81	4.26	0.18	-0.3	0.03	0.78	0.24	4.56	0.18	4.73	0.18	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
BD-195953	4830	103	4.44	0.32	-0.1	0.06	0.75	0.29	4.66	0.32	4.82	0.32	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-213153	4723	112	4.32	0.24	-0.2	0.05	1.04	0.23	4.58	0.24	4.75	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
BD-223528	4826	149	4.38	0.37	-0.06	0.10	0.23	0.98	4.60	0.37	4.76	0.38	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD100289	5466	30	4.32	0.06	0.03	0.02	0.69	0.06	4.29	0.06	4.41	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD101339	5727	27	4.43	0.04	-0.07	0.02	0.79	0.04	4.30	0.04	4.40	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD101367	5624	31	4.28	0.06	0.32	0.02	0.90	0.05	4.19	0.06	4.30	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD101612	6282	54	4.37	0.05	-0.35	0.04	1.12	0.08	4.03	0.05	4.09	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD101644	5669	27	4.51	0.06	-0.51	0.02	0.51	0.07	4.40	0.06	4.51	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD101650	4797	59	4.63	0.16	-0.39	0.02	0.28	0.04	4.86	0.16	5.03	0.16	True	False	False	False	True	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD102136	5369	29	4.41	0.07	-0.05	0.02	0.74	0.06	4.42	0.07	4.55	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD102300	6041	38	4.30	0.06	-0.26	0.03	1.15	0.06	4.05	0.06	4.13	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD102843	5478	36	4.40	0.06	0.20	0.03	0.75	0.08	4.37	0.06	4.49	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD103197	5288	75	4.38	0.14	0.26	0.05	0.74	0.14	4.42	0.14	4.55	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD103720	5028	60	4.39	0.14	0.03	0.04	0.69	0.17	4.53	0.14	4.68	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD103891	6067	22	4.02	0.05	-0.17	0.02	1.43	0.03	3.76	0.05	3.84	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD104760A	5951	30	4.39	0.04	0.13	0.02	1.05	0.03	4.18	0.04	4.26	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
